Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
353.5040313497485,42.81579135191512, Private,525731.1075740547, 7th-8th,16.181752295007463, Divorced, Other-service, Own-child, White, Male,173.93515888872892,-35.172755220948574,40.47901911691495, United-States, <=50K
636.0831165006474,46.254596098644875, Private,213209.03756850245, HS-grad,9.863858003248827, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,193.25001444024434,-18.076040862798703,45.3128222569682, United-States, <=50K
220.3348430142334,20.437796958436216, Private,519262.9606375816, Doctorate,13.290744224474702, Married-civ-spouse, Adm-clerical, Husband, White, Male,261.75221608988227,-42.82044562949605,30.925294557776386, United-States, >50K
394.38907271445976,69.13318349642401, Private,179113.2253602204, Some-college,8.477676249901487, Married-civ-spouse, Sales, Husband, White, Male,192.2605002583271,-25.596204881829586,38.3072928358484, United-States, <=50K
802.8508776449831,31.95471531000134, State-gov,259005.56497525953, Bachelors,12.149628264219643, Married-civ-spouse, Adm-clerical, Husband, White, Male,150.5070448351219,-22.340825351516724,35.35021623377427, United-States, <=50K
668.3979926480235,68.42172700633488, Private,244030.5075609926, Some-college,14.164969702769199, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,277.13120317556496,3.8350308595831692,49.50545860419582, United-States, <=50K
202.0700109248458,22.13255242722596, Private,25212.815888710466, Some-college,13.366441543457514, Married-civ-spouse, ?, Husband, White, Male,268.61506763243534,-14.02176725615263,5.636158026351719, United-States, <=50K
370.1244991862558,59.31259054243239, Private,145239.00920752357, Bachelors,10.364288920944675, Never-married, Other-service, Not-in-family, White, Male,125.10754117258742,-23.200604576062815,39.42534096251583, United-States, <=50K
719.9922771271264,53.65545089660123, Private,220026.03951425126, Some-college,14.828072112401697, Never-married, Prof-specialty, Own-child, White, Female,311.10064073933785,-48.47170656949721,40.04347607494599, United-States, <=50K
730.49789948334,28.605329570229873, Private,163137.62340364733, Some-college,10.16576511599969, Married-civ-spouse, Sales, Unmarried, Black, Male,7.82206272164369,-0.1426485678922581,41.07034135951413, United-States, >50K
